Codigo;Descripcion_aperturas;Clasificador;Periodo;Indice_IPC;v_m_IPC;v_i_a_IPC;Region
0;Nivel general;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
0;Nivel general;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
0;Nivel general;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
0;Nivel general;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
0;Nivel general;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
01;Alimentos y bebidas no alcohólicas;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
02;Bebidas alcohólicas y tabaco;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
03;Prendas de vestir y calzado;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
04;Vivienda, agua, electricidad, gas y otros combustibles;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
05;Equipamiento y mantenimiento del hogar;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
06;Salud;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
07;Transporte;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
08;Comunicación;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
08;Comunicación;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
08;Comunicación;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
08;Comunicación;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
08;Comunicación;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
09;Recreación y cultura;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
09;Recreación y cultura;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
09;Recreación y cultura;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
09;Recreación y cultura;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
09;Recreación y cultura;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
10;Educación;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
10;Educación;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
10;Educación;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
10;Educación;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
10;Educación;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
11;Restaurantes y hoteles;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201612;100;NA;NA;Pampeana
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201612;100;NA;NA;Noreste
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201612;100;NA;NA;Noroeste
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201612;100;NA;NA;Cuyo
12;Bienes y servicios varios;Nivel general y divisiones COICOP;201612;100;NA;NA;Patagonia
01.1;Alimentos;Grupos;201612;100;NA;NA;Pampeana
01.1;Alimentos;Grupos;201612;100;NA;NA;Noreste
01.1;Alimentos;Grupos;201612;100;NA;NA;Noroeste
01.1;Alimentos;Grupos;201612;100;NA;NA;Cuyo
01.1;Alimentos;Grupos;201612;100;NA;NA;Patagonia
01.2;Bebidas no alcohólicas;Grupos;201612;100;NA;NA;Pampeana
